units,n_layers,lr,epochs_ran,val_MAE,val_RMSE
32,1,0.001,20,110.29855346679688,165.5974578857422
64,1,0.001,20,108.91551971435547,162.77407836914062
64,2,0.001,20,115.86917114257812,167.5886993408203
64,1,0.0005,20,113.2248764038086,169.52413940429688
