d_model,num_heads,ff_dim,n_layers,lr,epochs_ran,val_MAE,val_RMSE
32,2,64,1,0.001,20,113.28401184082031,164.51268005371094
32,4,64,1,0.001,18,145.1230010986328,202.21141052246094
64,4,128,1,0.001,13,150.05772399902344,207.25283813476562
32,2,64,2,0.001,14,190.28475952148438,254.2760772705078
