units,n_layers,lr,epochs_ran,val_MAE,val_RMSE
32,1,0.001,20,134.77732849121094,191.7814178466797
64,1,0.001,20,123.52214050292969,175.5820770263672
64,2,0.001,20,131.865966796875,187.6961669921875
64,1,0.0005,20,142.20111083984375,198.1518096923828
