order,fit_time_s,val_MAE,val_RMSE,AIC
"(1, 0, 0)",0.48790693283081055,106.97866459959718,161.88057100811932,75647.54419431534
"(2, 0, 1)",4.202557325363159,102.4798673965521,153.3826043452211,74547.91079500178
"(1, 1, 1)",0.49103260040283203,103.07684970737067,153.9865192149798,74582.31216386333
"(2, 1, 2)",1.1318058967590332,102.82936006852105,153.4208386028721,74559.70375428605
